formula,qx,qy,sg,theta,phi,label4,label2,label_src,group_id,uid,uid_ambiguous
HfPdBr6,0.05,0.05,P312,4,249,NC,non_collinear,Q-based,P312|Hf-Pd,1HfPdBr6-1,False
HfPdCl6,0.0,0.0,P312,0,0,DM_SS,non_collinear,Table1,P312|Hf-Pd,1HfPdCl6-1,False
HfPdF6,0.3333333333333333,0.3333333333333333,P312,0,0,NC,non_collinear,Q-based,P312|Hf-Pd,1HfPdF6-1,False
In2MnS4,0.3333333333333333,0.3333333333333333,P-3m1,90,266,NC,non_collinear,Q-based,P-3m1|Mn,1MnIn2S4-1,False
In2MnSe4,0.31,0.31,P-3m1,90,60,NC,non_collinear,Q-based,P-3m1|Mn,1MnIn2Se4-1,False
In2MnSe4,0.5,0.0,P3m1,8,202,AFM_collinear,collinear,Table2,P3m1|Mn,1MnIn2Se4-2,False
In2VSe4,0.0,0.0,P-3m1,88,208,FM,collinear,Q=Gamma,P-3m1|V,1VIn2Se4-1,False
In2VTe4,0.0,0.0,P-3m1,90,96,FM,collinear,Q=Gamma,P-3m1|V,1VIn2Te4-1,False
InMnBr6,0.49,-0.51,C2,2,60,AFM_collinear,collinear,Table2,C2|Mn,1InMnBr6-1,False
MnBr2,0.3333333333333333,0.3333333333333333,P-3m1,90,236,NC,non_collinear,Q-based,P-3m1|Mn,1MnBr2-1,False
MnBr2,0.5,0.5,P-4m2,90,314,AFM_collinear,collinear,Table2,P-4m2|Mn,1MnBr2-2,False
MnCl2,0.3333333333333333,0.3333333333333333,P-3m1,56,319,NC,non_collinear,Q-based,P-3m1|Mn,1MnCl2-1,False
MnCl2,0.5,0.5,P-4m2,90,226,AFM_collinear,collinear,Table2,P-4m2|Mn,1MnCl2-2,False
MnI2,0.3333333333333333,0.3333333333333333,P-3m1,0,0,NC,non_collinear,Q-based,P-3m1|Mn,1MnI2-1,False
MnI2,0.5,0.5,P-4m2,0,0,AFM_collinear,collinear,Table2,P-4m2|Mn,1MnI2-2,False
MnNiS2Se2,0.23,0.0,Pm,44,276,NC,non_collinear,Q-based,Pm|Mn-Ni,1MnNiS2Se2-1,False
MnO2,0.1428571428571428,0.1428571428571428,P-3m1,88,152,NC,non_collinear,Q-based,P-3m1|Mn,1MnO2-1,False
MnO2,0.0,0.0,P-6m2,0,0,FM,collinear,Q=Gamma,P-6m2|Mn,1MnO2-3,False
MnS2,0.12,0.12,P-3m1,2,0,NC,non_collinear,Q-based,P-3m1|Mn,1MnS2-1,False
MnS2,0.5,0.5,P-4m2,90,224,AFM_collinear,collinear,Table2,P-4m2|Mn,1MnS2-3,False
MnScBr6,0.22,-0.44,C2,90,200,NC,non_collinear,Q-based,C2|Mn-Sc,1MnScBr6-1,False
MnSe2,0.1,0.1,P-3m1,0,0,NC,non_collinear,Q-based,P-3m1|Mn,1MnSe2-1,False
MnTe2,0.1,0.1,P-3m1,78,149,NC,non_collinear,Q-based,P-3m1|Mn,1MnTe2-1,False
MnTe2,0.3333333333333333,0.3333333333333333,P-6m2,0,0,NC,non_collinear,Q-based,P-6m2|Mn,1MnTe2-2,False
MnZrBr6,0.3333333333333333,0.3333333333333333,P312,14,254,NC,non_collinear,Q-based,P312|Mn-Zr,1MnZrBr6-1,False
MnZrI6,0.3333333333333333,0.3333333333333333,P312,0,0,NC,non_collinear,Q-based,P312|Mn-Zr,1MnZrI6-1,False
MoOsCl6,0.1,0.1,C2,32,235,NC,non_collinear,Q-based,C2|Mo-Os,1MoOsCl6-1,False
NiBr2,0.1,0.1,P-3m1,86,54,NC,non_collinear,Q-based,P-3m1|Ni,1NiBr2-1,False
NiBr2,0.0,0.0,P-4m2,2,300,DM_SS,non_collinear,Table1,P-4m2|Ni,1NiBr2-2,False
NiBrCl,0.1,0.1,P3m1,90,322,NC,non_collinear,Q-based,P3m1|Ni,1BrClNi-1,False
NiCl2,0.07,0.07,P-3m1,88,318,NC,non_collinear,Q-based,P-3m1|Ni,1NiCl2-1,False
NiF2,0.0,0.0,P-3m1,8,274,FM,collinear,Q=Gamma,P-3m1|Ni,1NiF2-1,False
NiH2O2,0.3333333333333333,0.3333333333333333,P-3m1,0,0,NC,non_collinear,Q-based,P-3m1|Ni,1NiH2O2-1,False
NiI2,0.12,0.12,P-3m1,90,60,NC,non_collinear,Q-based,P-3m1|Ni,1NiI2-1,False
NiI2,0.17,0.17,P-4m2,90,18,NC,non_collinear,Q-based,P-4m2|Ni,1NiI2-2,False
NiPdF6,0.13,-0.13,C2/m,6,133,NC,non_collinear,Q-based,C2/m|Ni-Pd,1NiPdF6-1,False
NiTiBr3Cl3,0.0,0.0,P1,52,294,FM,collinear,Q=Gamma,P1|Ni-Ti,1NiTiBr3Cl3-1,False
NiZrBr6,0.0,0.0,P312,22,0,DM_SS,non_collinear,Table1,P312|Ni-Zr,1NiZrBr6-1,False
NiZrCl6,0.0,0.0,P312,8,187,FM,collinear,Q=Gamma,P312|Ni-Zr,1NiZrCl6-1,False
NiZrF6,0.0,0.0,P312,20,180,FM,collinear,Q=Gamma,P312|Ni-Zr,1NiZrF6-1,False
NiZrI6,0.0,0.0,P312,90,358,DM_SS,non_collinear,Table1,P312|Ni-Zr,1NiZrI6-1,False
PdBr2,0.12,0.12,P-3m1,90,240,NC,non_collinear,Q-based,P-3m1|Pd,1PdBr2-1,False
PdCl2,0.1,0.1,P-3m1,10,325,NC,non_collinear,Q-based,P-3m1|Pd,1PdCl2-1,False
PdZrBr6,0.02,0.02,P312,18,238,NC,non_collinear,Q-based,P312|Pd-Zr,1PdZrBr6-1,False
PdZrI6,0.0,0.0,P312,90,270,FM,collinear,Q=Gamma,P312|Pd-Zr,1PdZrI6-1,False
PtCl2,0.1,0.1,P-3m1,90,240,NC,non_collinear,Q-based,P-3m1|Pt,1PtCl2-1,False
ScH2,0.0,0.0,P-6m2,90,62,FM,collinear,Q=Gamma,P-6m2|Sc,1ScH2-1,False
ScO2,0.0,0.0,P-3m1,90,118,FM,collinear,Q=Gamma,P-3m1|Sc,1ScO2-1,False
ScO2,0.0,0.0,P-6m2,90,126,FM,collinear,Q=Gamma,P-6m2|Sc,1ScO2-2,False
ScS2,0.0,0.0,P-6m2,90,176,FM,collinear,Q=Gamma,P-6m2|Sc,1ScS2-2,False
ScSe2,0.0,0.0,P-6m2,90,0,FM,collinear,Q=Gamma,P-6m2|Sc,1ScSe2-2,False
TaO2,0.0,0.0,P-4m2,0,0,DM_SS,non_collinear,Table1,P-4m2|Ta,1TaO2-3,False
VBr2,0.3333333333333333,0.3333333333333333,P-3m1,88,42,NC,non_collinear,Q-based,P-3m1|V,1VBr2-1,False
VBr2O,0.5,0.5,Pmm2,0,0,AFM_collinear,collinear,Table2,Pmm2|V,1OVBr2-1,False
VBrCl,0.3333333333333333,0.3333333333333333,P3m1,2,300,NC,non_collinear,Q-based,P3m1|V,1BrClV-1,True
VBrI,0.3333333333333333,0.3333333333333333,P3m1,90,148,NC,non_collinear,Q-based,P3m1|V,1BrIV-1,True
VBrI,0.3333333333333333,0.3333333333333333,P3m1,0,0,NC,non_collinear,Q-based,P3m1|V,1BrIV-2,True
VCl2,0.3333333333333333,0.3333333333333333,P-3m1,90,58,NC,non_collinear,Q-based,P-3m1|V,1VCl2-1,False
VCl2O,0.5,0.5,Pmm2,0,0,AFM_collinear,collinear,Table2,Pmm2|V,1OVCl2-1,False
VClI,0.3333333333333333,0.3333333333333333,P3m1,90,150,NC,non_collinear,Q-based,P3m1|V,1ClIV-1,True
VClIO,0.0,0.0,Pm,30,280,DM_SS,non_collinear,Table1,Pm|V,1ClIOV-1,False
VF2O,0.0,0.0,Pmm2,90,90,DM_SS,non_collinear,Table1,Pmm2|V,1OVF2-1,False
VI2,0.1428571428571428,0.1428571428571428,P-3m1,42,324,NC,non_collinear,Q-based,P-3m1|V,1VI2-1,False
VI2O,-0.31,-0.5,Pmm2,0,0,NC,non_collinear,Q-based,Pmm2|V,1OVI2-1,False
VO2,0.0,0.0,P-4m2,0,0,FM,collinear,Q=Gamma,P-4m2|V,1VO2-2,False
VS2,0.0,0.0,P-4m2,90,270,FM,collinear,Q=Gamma,P-4m2|V,1VS2-3,False
VSTe,0.0,0.0,P3m1,84,330,FM,collinear,Q=Gamma,P3m1|V,1STeV-1,True
VSe2,0.0,0.0,P-4m2,90,312,FM,collinear,Q=Gamma,P-4m2|V,1VSe2-3,False
VSe2,0.0,0.0,P-6m2,90,270,FM,collinear,Q=Gamma,P-6m2|V,1VSe2-1,False
VSeTe,0.0,0.0,P3m1,90,240,FM,collinear,Q=Gamma,P3m1|V,1SeTeV-1,True
VSeTe,0.0,0.0,P3m1,90,300,FM,collinear,Q=Gamma,P3m1|V,1SeTeV-2,True
VTe2,0.0,0.0,P-6m2,88,270,FM,collinear,Q=Gamma,P-6m2|V,1VTe2-1,False
YCl2,0.2,0.0,P-6m2,0,0,NC,non_collinear,Q-based,P-6m2|Y,1YCl2-1,False
